video_title,view_count,like_count,comment_count,channel_name,subscriber_count
DIAMOND PLAY BUTTON UNBOXING | കേരളത്തിലെ ആദ്യത്തെ ഡയമണ്ട് പ്ലേബട്ടൺ തുറന്നപ്പോൾ | M4 Tech |,3581552,233410,8722,M4 Tech,13700000
Chicken Vs HCL & H2SO4 | കോഴി ഇറച്ചി അസിഡിൽ മുക്കിയപ്പോൾ | M4 Tech |,1720057,66415,1750,M4 Tech,13700000
Magic Fishing Net | ഈ വല കയ്യിൽ ഉണ്ടെങ്കിൽ മീൻപിടുത്തം എന്ത് എളുപ്പം | M4 Tech |,2437355,69837,1812,M4 Tech,13700000
MY NEW ELECTRIC SCOOTER! | കുറഞ്ഞ ചിലവിൽ ഒരു അടിപൊളി ഇലക്ട്രിക്ക് സ്കൂട്ടർ | M4 Tech |,2386620,57017,1538,M4 Tech,13700000
Treasure Hunting 🏴‍☠️🤑💰💸| ഭൂമിക്കടിയിൽ ഒളിപ്പിച്ച നിധി കണ്ടു പിടിച്ചു | M4 Tech |,3537302,101104,1748,M4 Tech,13700000
Kunjuttan Rocks : 13 | Sodium Metal Cigarette Experiment | M4 Tech | #shorts,17519125,440453,530,M4 Tech,13700000
Lock vs Flower Pot Experiment | മേശപ്പൂവിന്റെ ഇടയിൽ പെട്ട ലോക്കിന്റെ അവസ്ഥ | M4 Tech |,1976823,66383,1111,M4 Tech,13700000
Village Pond Fishing | കുളം വറ്റിച്ചു മീൻപിടുത്തം | M4 Tech |,3270251,94205,1837,M4 Tech,13700000
Happy Vishu 2023 | All New Vishu Firecrackers Testing🔥| പടക്കം കൂട്ടിയിട്ട് കത്തിച്ചപ്പോൾ | M4 Tech,2523210,102680,2195,M4 Tech,13700000
What Inside KALASHNIKOV | കലാഷ്നിക്കോവോന്റെ അകത്ത് എന്തായിരിക്കും | M4 Tech |,2039868,75928,1753,M4 Tech,13700000
K.G.F നെ വെല്ലുന്ന കലാഷ്നികാവോ . ഈ വിഷു നമ്മൾ പൊളിക്കും | M4 Tech |,1776419,90535,1347,M4 Tech,13700000
M4 TECH 10 Million Celebration | 10000000 ആഘോഷം | M4 TECH |,1838280,142975,5265,M4 Tech,13700000
Transparent Fish Trap | അദൃശ്യമായ  മീൻ കെണി | M4 Tech |,2720429,88099,2086,M4 Tech,13700000
അങ്ങനെ അജുമോനും ലാപ്ടോപ്പ് വാങ്ങാൻ തീരുമാനിച്ചു | M4 Tech | #shorts,5029785,186837,695,M4 Tech,13700000
ലാപ്ടോപ്പ് അടിച്ചുപോയി ഷൂട്ടിങ്ങിനു വരാതെ അജു മച്ചാൻ | M4 Tech | #shorts,6022319,225979,299,M4 Tech,13700000
Messi❤️🇦🇷🇮🇳 |M4tech| #lionelmessi #m4tech #shorts,3012569,156439,1683,M4 Tech,13700000
Kunjuttan Rocks :12 | World's Biggest Thread Art Small Gift From An Indian Boy 🇦🇷 ❤️ 🇮🇳 #shorts,6924627,248949,932,M4 Tech,13700000
Kunjuttan Rocks Epi:12 | World's Biggest Thread Art Small Gift From An Indian Boy 🇦🇷 ❤️ 🇮🇳 #shorts,15684360,617130,2089,M4 Tech,13700000
World's Largest Thread Art | Gift For Messi From India | 🇦🇷❤️ 🇮🇳ലോകത്തിലെ ഏറ്റവും വലിയ നൂൽചിത്രം,2904819,202981,12286,M4 Tech,13700000
Best Innovative Tech Vlogger | M4 Tech | മികച്ച ഇന്നൊവേറ്റീവ് ടെക്നോളജി അവാർഡ് M4ടെക് സ്വന്തമാക്കി,1242010,56139,1422,M4 Tech,13700000
500 KG WATERMELON JUICE MAKING | ENERGY DRINK | 500 കിലോ തണ്ണിമത്തൻ ജ്യൂസ് ഉണ്ടാക്കിയപ്പോൾ  M4 TECH,3491806,88827,1689,M4 Tech,13700000
